actutal_name,id,Q,L,Neutral,Happy,Sad,Angry,Fear,avg_speed,avg_pitchrange,amplitude1,amplitude2,amplitude3,board usage,rating,RQ
"Elimination with Matrices _ MIT 18.06SC Linear Algebra, Fall 2011",02111431AF.mp4,7,1,0.009,0.824,0.01,0.103,0.054,2.48,7.42,12487.59,12351.06,12482.59,0.349345597,5,0
Everyone is terrible _ Jo Firestone _ TEDxNewYork,03111943PM.mp4,8,37,0.011,0.942,0.002,0.02,0.025,2.49,7.7,17989.44,15368.94,16599.06,0.1480533507,5,2
Faster than a calculator _ Arthur Benjamin _ TEDxOxford,02250207RJ.mp4,18,46,0.107,0.13,0.007,0.745,0.011,2.94,6.72,28462.69,28048.12,29148.25,0.3843941467,5,3
How great leaders inspire action _ Simon Sinek,02250119GX.mp4,20,0,0.961,0,0.033,0.001,0.004,3.28,6.94,11803.94,11601,9784.69,0.382914027,5,3
Introduction to Democracy and its broad variations,02250007CY.mp4,10,1,0.975,0,0.022,0.002,0.001,2.52,6.48,9358.33,10052.8,11234.4,0.1328079267,5,0
Introduction to Superposition,02102145VX_1.mp4,5,3,0.001,0.587,0.001,0.411,0,2.82,6.42,9118.18,9106.18,7983.35,0.3107693556,5,3
Introduction to Superposition,02102145VX.mp4,6,5,0.001,0.313,0.001,0.685,0,2.94,6.11,7444.25,6481,5833.56,0.3107693556,5,1
Introduction to Superposition,02102145VX_2.mp4,11,7,0.001,0.654,0.001,0.345,0,3.18,7,8174.47,9284.35,9410.53,0.3107693556,5,6
Julian Treasure_ How to speak so that people want to listen,02250115EH.mp4,19,33,0.837,0,0.019,0.003,0.14,3.22,7.22,29054.69,28808.69,30331.31,0.382914027,5,3
Lec 1 _ MIT 14.01SC Principles of Microeconomics,02102312AS.mp4,18,4,0.002,0.208,0.001,0.789,0,3.16,6.19,15009.81,14811.88,15545.94,0.4424142315,5,3
Lec 1 _ MIT 14.01SC Principles of Microeconomics,02102312AS_1.mp4,21,13,0.007,0.145,0.002,0.846,0,3.31,5.04,15315.18,16001,15225.94,0.4424142315,5,11
Lec 1 _ MIT 14.01SC Principles of Microeconomics,02102312AS_2.mp4,23,13,0.001,0.08,0.001,0.918,0,3.45,5.89,15783.06,16394.24,16419.12,0.4424142315,5,12
"Lec 1 _ MIT 18.01 Single Variable Calculus, Fall 2007",02102344LV.mp4,16,0,0,0.004,0,0.996,0,2.82,6.81,10724.5,10847.12,10284.88,0.5777191158,5,3
"Lec 1 _ MIT 18.01 Single Variable Calculus, Fall 2007",02102344LV_1.mp4,20,0,0,0.007,0,0.993,0,3.13,6.01,10111.24,10795.59,10264.47,0.5777191158,5,11
"Lec 1 _ MIT 18.03 Differential Equations, Spring 2006",02102135RS.mp4,7,45,0.931,0,0.019,0.049,0,2.72,6.64,26364.19,26669.19,26663,0.6032472682,5,0
"Lec 1 _ MIT 18.03 Differential Equations, Spring 2006",02102135RS_2.mp4,8,38,0.296,0.005,0.008,0.691,0,2.82,6.18,29075,25668.82,24228.41,0.6032472682,5,5
"Lec 1 _ MIT 18.03 Differential Equations, Spring 2006",02102135RS_1.mp4,19,35,0.68,0.007,0.049,0.261,0.003,3.17,7.18,27263.12,27558.65,24547.59,0.6032472682,5,11
"Lec 1 _ MIT 18.06 Linear Algebra, Spring 2005",02102124HO.mp4,11,2,0.037,0.015,0.015,0.933,0,2.78,7.24,7480.56,7345.5,6260.19,0.576909209,5,0
"Lec 1 _ MIT 18.06 Linear Algebra, Spring 2005",02102124HO_1.mp4,25,0,0.095,0.004,0.035,0.866,0,2.83,7.39,6390.94,6256.35,7013.29,0.576909209,5,14
"Lec 1 _ MIT 3.091SC Introduction to Solid State Chemistry, Fall 2010",02110035HA.mp4,14,20,0,0.012,0,0.988,0,2.89,7.26,14861.12,14297.5,13122.12,0.6118827113,5,2
"Lec 1 _ MIT 3.091SC Introduction to Solid State Chemistry, Fall 2010",02110035HA_2.mp4,21,20,0,0.028,0,0.972,0,2.95,7.71,12570.88,14501.06,13325.24,0.6118827113,5,11
"Lec 1 _ MIT 3.091SC Introduction to Solid State Chemistry, Fall 2010",02110035HA_1.mp4,16,18,0,0.02,0,0.979,0,3.3,6.62,11351.12,13287.47,12573.12,0.6118827113,5,8
"Lec 1 _ MIT 6.00SC Introduction to Computer Science and Programming, Spring 2011",02102353TC_1.mp4,11,6,0.003,0.024,0.003,0.97,0,2.83,7.06,6582.71,6787.59,6846.12,0.6570909098,5,8
"Lec 1 _ MIT 6.00SC Introduction to Computer Science and Programming, Spring 2011",02102353TC.mp4,11,3,0.021,0.038,0.014,0.928,0,2.9,6.84,16263.27,16434.27,16126.5,0.6570909098,5,3
"Lec 1 _ MIT 6.042J Mathematics for Computer Science, Fall 2010",02102302IB.mp4,10,7,0,0.031,0,0.969,0,2.32,8.14,13073.94,13824.62,10146.31,0.4941750347,5,3
"Lec 1 _ MIT 6.042J Mathematics for Computer Science, Fall 2010",02102302IB_1.mp4,14,1,0,0.074,0,0.925,0,2.84,7.27,11602.53,13341,13226.71,0.4941750347,5,8
"Lec 1 _ MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",02102122CS_2.mp4,21,25,0.13,0.007,0.411,0.453,0,2.75,6.86,16595.12,17052,11953.24,0.6566194109,5,13
"Lec 1 _ MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",02102122CS_1.mp4,17,19,0.619,0,0.167,0.214,0,2.94,6.57,17059.71,16641.94,15741.71,0.6566194109,5,9
"Lec 1 _ MIT 6.046J / 18.410J Introduction to Algorithms (SMA 5503), Fall 2005",02102122CS.mp4,7,29,0.984,0,0.014,0.002,0,2.94,5.86,17511.12,16983.56,16783.88,0.6566194109,5,1
"Lec 1 _ MIT 6.450 Principles of Digital Communications I, Fall 2006",02110050IL_1.mp4,17,30,0,0.104,0.002,0.893,0,3.17,6.1,4085.88,4038.41,4144.94,0.2960214222,5,9
"Lec 1 _ MIT 6.450 Principles of Digital Communications I, Fall 2006",02110050IL.mp4,0,37,0,0.051,0.001,0.948,0,2.9,6.84,16263.27,16434.27,16126.5,0.2960214222,5,0
"Lec 1 _ MIT 9.00SC Introduction to Psychology, Spring 2011",02102046WD_1.mp4,14,22,0.001,0.005,0.001,0.993,0,2.91,7.83,9254.65,11349.29,10410.47,0.321113646,5,8
"Lec 1 _ MIT 9.00SC Introduction to Psychology, Spring 2011",02102046WD.mp4,12,7,0.021,0.003,0.007,0.969,0,3.27,5.13,11519.25,10558,9165.94,0.321113646,5,3
"Lec 2 _ MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",02102326MO_1.mp4,15,9,0.002,0.016,0,0.982,0,3.02,7.65,10130.06,11963.53,10435,0.7611979119,5,8
"Lec 2 _ MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",02102326MO.mp4,9,10,0,0.024,0,0.975,0,3.27,6.8,8241.06,7170.56,7404.38,0.7611979119,5,2
"Lec 2 _ MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",02102326MO_2.mp4,15,11,0.027,0.018,0.002,0.954,0,3.33,7.15,11005.82,10560.12,11515.18,0.7611979119,5,8
"Lec 3 _ MIT 6.002 Circuits and Electronics, Spring 2007",02111416DE.mp4,9,3,0,0.007,0,0.993,0,2.64,7.43,10263.75,9529.38,9368.06,0.509199634,5,0
"Lec 3 _ MIT 6.002 Circuits and Electronics, Spring 2007",02111416DE_1.mp4,15,2,0,0.035,0,0.965,0,2.84,6.96,9928.12,10142.47,9736.24,0.509199634,5,8
"Lecture 2, Signals and Systems_ Part 1 _ MIT RES.6.007 Signals and Systems, Spring 2011",02111408LK.mp4,5,0,0.345,0.002,0.092,0.561,0,2.6,7.14,10034.19,10860.25,10489.19,0.382914027,5,1
"Lecture 2, Signals and Systems_ Part 1 _ MIT RES.6.007 Signals and Systems, Spring 2011",02111408LK_1.mp4,9,0,0.696,0,0.075,0.228,0,2.71,7.48,10543.35,10450.29,10633.71,0.382914027,5,5
Lexicon of Biochemical Reactions_ Cofactors Formed from Vitamin B12,02250319IW_1.mp4,8,4,0.127,0.109,0.049,0.712,0.003,3,6.74,22543.65,26203.24,24973.88,0.4275707055,5,4
Lexicon of Biochemical Reactions_ Cofactors Formed from Vitamin B12,02250319IW.mp4,11,2,0.224,0.032,0.148,0.595,0.001,3.09,7.09,22385.5,20829.88,19417.88,0.4275707055,5,0
"MIT 5.111 Principles of Chemical Science, Fall 2014 1. The Importance of Chemical Principles",2018NON007.mp4,19,21,0.006,0.855,0.003,0.135,0.001,3.14,6.56,7612.12,6344.62,7001.44,0.382914027,5,1
"MIT 5.111 Principles of Chemical Science, Fall 2014 1. The Importance of Chemical Principles",2018NON007_1.mp4,6,22,0.006,0.451,0.002,0.541,0,3.19,6.03,8098.94,6928.59,8682.06,0.382914027,5,3
Ohm's law and basic circuits ,02250033DP.mp4,5,1,0.669,0.005,0.056,0.269,0.001,3,5.58,10491.69,10444.44,11276.62,0.2308857882,5,1
Paul Martin_ Engineers for Health_ How Intersectoral Collaboration Decreases Injury and Disease,03040042CJ.mp4,4,0,0.989,0,0.011,0,0,3.22,7.31,20316.56,20115.69,19521.88,0.382914027,5,0
Paul Martin_ Engineers for Health_ How Intersectoral Collaboration Decreases Injury and Disease,03040042CJ_1.mp4,6,0,0.978,0,0.018,0.004,0.001,3.29,6.34,20584.29,19485.82,19969.65,0.382914027,5,3
Rives_ The Museum of Four in the Morning,03111957OS.mp4,16,7,0.003,0.158,0.001,0.838,0,3.32,5.66,18542.81,15693.25,16650,0.382914027,5,4
Spanish colonization,02250022FN.mp4,4,6,0.969,0.004,0.018,0.007,0.002,2.56,7.19,22210.06,22072.19,21789.81,0.5177718421,5,1
Terms of Trade and the Gains from Trade _ Macroeconomics _ Khan Academy,02250051DZ.mp4,9,1,0.006,0.012,0.011,0.971,0,2.77,7.56,8072.88,8646.5,7172.19,0.1706437338,5,0
The rise and fall of the Inca empireGordon McEwan,02250249OV.mp4,0,0,0.914,0,0.085,0,0,2.9,6.84,16263.27,16434.27,16126.5,0.4362108272,5,0
"Think Fast, Talk Smart_ Communication Techniques",03040027WJ_1.mp4,13,3,0,0.016,0,0.984,0,3.29,6.46,9203.53,9141.53,12239.59,0.382914027,5,7
"Think Fast, Talk Smart_ Communication Techniques",03040027WJ.mp4,15,2,0,0.018,0,0.982,0,3.66,5.93,9844.44,9585.44,9400.56,0.382914027,5,3
What Is Big O_ (Comparing Algorithms),02250105LE.mp4,5,15,0.27169,0,0,0,0,3.17,7.75,15515.86,13897.86,13147.92,0.382914027,5,3
What makes a good life,2018NON004.mp4,22,2,0.058,0,0.934,0,0.008,2.88,7.32,18494.81,19893.5,18457.69,0.382914027,5,2
Why is 0! = 1_,03040009JD.mp4,15,18,0,0.807,0.007,0.173,0.013,2.6,7.22,9350.4,9135.2,7491.3,0.8070790843,5,2
Why people believe they can’t drawand how to prove they can _ Graham Shaw,02250242XO.mp4,19,22,0.091,0.317,0.042,0.41,0.141,2.88,7.26,27628.06,25327.62,30154.25,0.382914027,5,1
Zach King_ The storyteller in all of us _ TEDxPortland,02250237XM.mp4,24,12,0.567,0,0.119,0.314,0,3.7,5.68,17257.44,24712.19,22042.06,0.382914027,5,3
