 i'm john doe tag, not question
 so the private in the private leagues in like a home game to have the showcase and you might notice as soon as you log in that the mi to the park at their analytics rd at the top that's such as for us that's for everyone anyone in the world who logs into poker stars a look at home games has it and my tv at the top which i think is really cool so access says i'll send a more specific instructions later i give you guys the just like the passcode what you need but actually get there will you need to do is you gonna poker stars you go to like this button which is a little house there are taxes home games and then you wanna join a game and what you do is you put the club it which is five hundred seventy three two you put the invitation code which are all gonna having stellar and then you put your real name preferably the one that is in the course because i cash after prove everyone that joins of the and i can't do justice on someone screaming and i guess after agree to some sort times and conditions, not question
 like the this is why the twenty but the live tournament scene is dominated by on-line pros it's because, not question
 None, not question
 it's headphones and apple tv, not question
 where the kind of like grinder to and then on the weekends that's when you get a lot of like a lot of the square money a lot of the like the newer guys who only play poker on the weekend and those are more gimmicky like idiosyncratic tournament but also the highest value so that's why i'm producing the the tournament structure like this for the book of your tournament will be, not question
 let's talk about what we're number to table here so i set discourses primarily gonna be from my perspective and that the decisions about what time, not question
 to make a donation or to view additional materials from hundreds of em it courses, not question
 you can there playing these on line the eggs you can collect stats that you can never get from playing live and i think this is, not question
 oh speakers and a lot of gift cards, not question
 turn those let you focus on prefect decisions which on are the area where i think there's a most to learn among people who are new at poker, not question 
glasses here for the seventy on cam doesn't mean i'm gonna be the instructor on mondays at the advisor and this is worth three three cartons, not question
 so this is actually on hopefully get you use to playing against other people who are playing correctly which is not something you can calmly learn just from, not question
 i think the way that we can tackle this thing it is kind of a way i recommend that you learn anything complicated so, not question
 very similar to each other but then the tournament that really matter will be completely different at least relatively different so that's under that that's they'll make you get a feel for what these guys have to go through um so let's talk about her rose, not question
 let's go into the game plastic more so posers crib that's probably frost which is really cool so poker stars is is generally considered like the most reputable on line poker site that's why we use them so they have two different types of games of everyone employment games now will, not question
 definitely not okay for real money how ever their play money seen is is pretty resilient and that's or taking advantage of your the process play money scene is broken down to two different things they have like public intrigued just go and play for like play chips in against anyone in the world which is cool and you can do that when i recommend you give it a shot just to get used to the software i'm in addition you can do home searches what were generally gonna be doing that so they call the like private leaves, not question
 None, not question
 None, not question
 from like playing around with your friends on in addition, not question
 alright everyone so welcome to fifty dot es fifty people there and analytics services gonna be monday wednesday friday from three thirty to five i just got a room for review session on tuesday thursday for anyone who needs to catch up a little bit, not question
 visit mi to open course ware at os ew dot am it dot edu, not question
 and then for their second tournament there giving us all of those things plus an ipad air and an i pad mini but we're not done yet because this class is focused on playing live we're going to end the class with alive tournament sponsored by october on the thirty first which is the day after the last day of the class so after leagues over after you guys are good at poker but you'll have an opportunity to play each other in alive tournament, not question
 listen i pad plastic end of us to go pro i want this to reflect, not question
 we were gonna break this down to three different sections like fundamental concepts, not question
 which is good means given by that poker chip for the pain, not question
 None, not question
 if you're in the us you can do real money like it used to be some was very gray area, not question
 practice which are actually implementing those concepts when like when you have ten seconds to make a decision and then more advance stuff okay so where it was going to concepts i'm gonna call this of the basic framework for decision making it's like being on explorer we like you wanna get to level when you sit down at a table every pro in the room doesn't turn ago i wanna set back as table you wanna be slightly winning player way before you want to become like a huge wedding player in order to let you know the type of thing that we're learning i'm gonna label the sides with this indicate that this is like a basic concept learn this thing before you move are the advance stuff is once you once you learned how to do things which is like how to do things is pretty is pretty broad we're gonna learn like minor adjustments that we can do to get on quite a bit of extra money but how to grind out that i need that additional like half big blind in our out of out of our opponents, question
 and this pros we'll just grind those out though get use to the structure and that's real world, not question
 it became and then there was one progress eight which turned out to be like legitimately like a ponzi scheme and as a result now procure in in the us is it much more black and white, not question
 i know it so let's, not question
 no like no live pro to get as many hands are analyzer play in the way that you can do online dishes it's not a comparative so this is giving even if your of your whole intention is to only play on live the entire reciever life doing this type of analytics would give you a chance to learn at a much faster rate and learn things that you and never see live so every week we're going to have a major tournament which is basically gonna be the same structure maybe a lol bit slower than the ones we do delhi except they're gonna have real prizes so of tuna is giving us for their first tournament, not question
 it open course ware continue to offer high quality educational resources for free, not question
 and then a lot of discussing the focus on practice which is how to actually implement late how to implement these concepts on a on a daily basis and are actually playing so especially live like we are not gonna have all the information we're not gonna have a calculators and we're not gonna have that much time to make a decision so how does like applied israel time making rules of thumb figure out what you can't just ignore and what you have to definitely do and then some the psychology stuff for later actually performing live is gonna be one contract is, question
 None, not question
 there are gonna be doing proof of announces we're gonna be doing a lot of this because this is really like is this is where the value at is gonna be is getting this right, not question
 like an on-line multi table tournament firewood how it normally works is during the week and basically every single day there's a uniform out of tournament so just run every single day like at the top of the hour, not question
 okay so let's say about the lead and honestly i think they this league is going to be really cool usually the the the evolution of a player is like they're terrible at poker and then they start becoming good at playing against bad people and then when they actually start playing for real they got crushed again because there used to play against other bad people, not question
 what the what the type of things, question
 so any any real deviations from warren armando normally do in addition to medicare and medicaid was always fine like anything not related to the hand to hand decision-making process like table selection or like bankroll management or but deciding whether or not to play it that suffers really fondness can be indicated by this ac okay so i will label the side for anything that's considered advanced and stuff fish only really do when you get the concepts down, not question
 okay so that's in with pricey so the schedule is we're gonna go through what what i'm calling basic strategy which are like the the basic axioms that were gonna be using to in order to analyze the decision making process in poker, not question
 the game play aspect so this is why did i think this is i think this is really cool so producers gave us our own private lead for only and ninety people in this course and my goal here it is two separate people who are like fairly new for people who are very competitive because i don't want i don't want someone not to pass of course because they happen to be not a great poker check train this thing called beginner's the and these are gonna be daily turbo churros means like there fast if tournament is and to get the game play credit you can cash you can make money and one of them or you can play in ten of them so those who are struggling can get this game play credit by playing ten torrance which is about like a ten hour commitment, not question
 so the private in the private leagues in like a home game to have the showcase and you might notice as soon as you log in that the mi to the park at their analytics rd at the top that's such as for us that's for everyone anyone in the world who logs into poker stars a look at home games has it and my tv at the top which i think is really cool so access says i'll send a more specific instructions later i give you guys the just like the passcode what you need but actually get there will you need to do is you gonna poker stars you go to like this button which is a little house there are taxes home games and then you wanna join a game and what you do is you put the club it which is five hundred seventy three two you put the invitation code which are all gonna having stellar and then you put your real name preferably the one that is in the course because i cash after prove everyone that joins of the and i can't do justice on someone screaming and i guess after agree to some sort times and conditions, not question
 like the this is why the twenty but the live tournament scene is dominated by on-line pros it's because, not question
 None, not question
 it's headphones and apple tv, not question
 where the kind of like grinder to and then on the weekends that's when you get a lot of like a lot of the square money a lot of the like the newer guys who only play poker on the weekend and those are more gimmicky like idiosyncratic tournament but also the highest value so that's why i'm producing the the tournament structure like this for the book of your tournament will be, not question
 let's talk about what we're number to table here so i set discourses primarily gonna be from my perspective and that the decisions about what time, not question
 to make a donation or to view additional materials from hundreds of em it courses, not question
 you can there playing these on line the eggs you can collect stats that you can never get from playing live and i think this is, not question
 oh speakers and a lot of gift cards, not question
 turn those let you focus on prefect decisions which on are the area where i think there's a most to learn among people who are new at poker, not question
 is there offerings and statistics on campus so i wanna make sure that you've chosen the right now so and i also understand that for some of you it's a matter of scheduling, not question
 no extend to brodeur and more sophisticated methods selectors are here from eleven twelve thirty is on tuesday and thursday the german will also be and and can call victor will also be holding mandatory recitation so please doing stellar and take your recitation it's either three to four or four to five on wednesdays and it's gonna be mostly focusing problem solving their mandatory in the sense that while we we have were allowed to do this but i don't know they're not gonna cover entirely new material but they might take cover some you know techniques that might save you some time when it comes to the exam so you know you might get by so you know attendance is not gonna be taken or anything like this but i highly recommend that you go because well they're minute or so you can not really complain that something was taught only in recitation so please register on stellar for which of the two recitation you would like to be in theirs they're capped at forty so first come first serve, not question
 another question, not question
 they're not, not question
 i need to actually throw the disclaimer i am i tend to speak too fast i'm aware of that you know someone in the back just do that that when you have no idea what i'm saying hopefully will repeat myself many times so if you average over time you'll see it's that has the double tell you that you will get the right message that i was actually trying to step to send, not question
 is a drug effective that's not in mathematical terms i have to find out which measure i want to have to call effective i want to maybe it's over seventy years times maybe so we're so there's a lot of things that you actually need and i'm not really gonna tell you how to go from the application to the point you need to be but it will certainly describe to you what point at which point you need to be at of you want to start applying to sicko methodology then once you understand what kind of question you want to answer the owner yes no answer to a one a number two on their bars tho no make prediction five years in the future who have site information and why not have site information all this things based on that hopefully you will have a catalog of the typical methods that you're gonna be able to use, not question
 None, not question
 so homework will be do weekly there's a total of eleven problems at several like this is a lot hopefully we'll to damn light, not question
 okay so the course are currently sitting in as eighteen six fifty and its cool fundamentals of statistics and tell last bring it was so cold statistics for applications and it turned out that really based on the content from the mental statistics was a more appropriate title so i'll tell you a little bit about what we're gonna cover in class with this class is about what it's not about there's several light i really there's, not question
 visit mi to open course ware at c w dot am it dot edu, not question
 this will be close books and clothes notes so the purpose is for you to get, not question
 two, not question
 okay so the pricks here and who has looked at the first problems that already, question
 if you're in the news and will see a lot of the things i mentioned machine learning it's built a lot of statistics statistics is now, not question
 it's not that, not question
 None, not question
 okay so those hands that are rate realize that there is a trooper record that the probability for this past, not question
 oh that, not question
 i want to say, not question
 None, not question
 so i've had over the years can it might be missing it but i've had students who actually write a doc file and think that converting it to pdf consistent racing the extension to see and replacing it by pdf this is not how it works and it's so i'm sure you will figure it out so please try to keep them letter size this is not a strict requirements but i don't want to see them now the there you are allowed to have to leave home works and by leaving in twenty four hours later, not question
 your support will help mi to open course ware continue to offer high quality educational resources for free, not question
 alright so why should you study statistics well, question
 None, not question
 the slides are so that we can discuss the the one that from the solas is the one that counts and i think they are also posted on the calendar on stellar as well, not question
 so the best of the two will be kept us, not question
 lightest many of you actually immediate their attention in class the goal here will be to take you so statistics somewhat evolved into machine learning in recent years and my goal is to teach you there some machine learning has a strong are rhythmic components on the sum of gifted in machine learning class that displays mostly the algorithmic component there's also statistical component right machine learns from data and hopefully so this to the civil track and there some statistical learning which arm statistical machine learning class is that you can take your so they're offered at the crack their level i believe but once you take those glasses i wanted to be ready to be able to take this class is having this to physical fundamentals to understand what you're doing and then you're gonna be able to, not question
 None, not question
 you can also plate that speed point seven five in case and of speaking too fast but i think of management alright so just last morning, not question
 yeah i'm saying that's figure that out the syllabus is the three one, not question
 i'm, not question
 and and and and you know apply in the wall and also you know, not question
 well you're always welcome to tighten them and practice yearly tax or were typing i also understand this can be a bit of a strain so just you know write them down on a piece of paper use your iphone and take a picture of it dropbox and nice new so try to find something that puts a lot of contrast of you especially if you use pencil because there and check if the rebel it readable and this is your responsibility to have a readable file in particular, not question
 not no statistical methods perfect some of people have agreed upon over the years and people understand that this is the standard but you i want you to be able to understand what the mutations are when you make conclusions based on the data that those conclusions might be erroneous for example alright more practically michael here is to have you ready to quit thinking for example machine learning class here, not question
 okay look questions asked to submit them this will be counted you have to send an email warrants or anything like this, not question
 the best of the two not the best to we will add them multiply the number by nine and it will be your now so i'm trying to be nice this is the limit switch for i can do all right so this will be the goal is for you to learn things into the familiar with them in the in the final you will be allowed to have your notes with you but i want you to midterms also we for you to develop some mechanism so that you don't actually weighs to much time on things that you should be able to do it without thinking too much you will be allowed to cheat sheets because you know you can always forget something and you will there will be to say the letter shit and you can mix you can practice yourself is writing a small as you want and you can put whatever you want on this huge fight the final will be decided by the register is gonna be three hours is gonna count forty percent you can bring books but you can bring your nose is, not question
 to make a donation or to view additional materials from hundreds of mi to courses, not question
 i just want you to you know not rest to much heat the ten best will be kept in this will comfortable of thirty percent of the final grade there do monday's at eight pm on stellar and so this is a new thing i'm not we're not gonna use the boxes outside of the math department were gonna use on the pdf file so, not question
 young that it's gonna be given that your have once like for one zero grade in stock for too late homeworks you're gonna have to come up with a very good explanation why you need actually more extensions than that if you ever do in particular have to keep track about why you've use your three options for the two midterms one is the toolbar third and one is november seven their both gonna be in class for duration of the lecture when i see the last for an hour and twenty minutes it does not mean that if you arrive ten minutes before the end of lecture you still get an hour and twenty minutes it will and at the lecture at the end of like two times for this is well no pressure only the best of the two will be cats and this will the screen will come for thirty percent of the great, not question
 yeah there's a one that's missing on both of them is in there, not question
 one mechanics, not question
 you know person sitting next you whatever things happen so we will drop their lowest problems at school or without any questions right with the into this mess will just drop your lowest score and if you turn them all in great whatever look for was fine if you miss one then gone on the other hand if you know like next week i will be attacked by rabid squirrel it's gonna be horrible i don't have to worry about my problems that, not question
 and other questions, not question
 one which stands out like a electrons and one which ends at white light comes, not question
 others, not question
 which again has three actors and import and, not question
 with color box and discover that comes out that say the white aperture, not question
 so in diagrams if i send in some random electron, not question
 involve electrons, not question
 eighteen, not question
 so i'm in this is mostly a standard lecture course there will be clusters used so by next week i need you all have flickers annual to register them on the t est website, not question
 None, not question
 it, not question
 the first lecture the content of the physics of the first lecture is relevant relatively stand alone it's going to be an introduction to basic idea that is going to haunt playing and charm us for the rest of the semester, not question
 one can't x is my old friend, not question
 true, not question
 from the uk and these are the technical names will learn the technical name for the properties later in the semester but to avoid distracting you by preconceived notions of what these things mean on the news and they use labels color harness and the empirical fact, not question
 cool, not question
 None, not question
 then with one hundred percent confidence one hundred percent of the time the electron coming to white port incident article about will come out, not question
 okay, not question
 which measures the color in the harness in particular it is possible to build a box, not question
 know what i mean by this is that it is possible to build a device, not question
 None, not question
 you've got all the books covered between you this will give you as much access to the taxes possible without forty two by four books which i would discourage you from going, not question
 are there any other track to what tions, not question
 solid six, not question
 okay so now you'll you'll you'll kill bill watson later on the a c fuse, not question
 but it's okay to be sure straight up physics, not question
 assuming all check, not question
 and they're posted on still website and link from the problems, not question
 hi everyone welcome nato for the spring twenty thirteen this is the fourth and presumably final time there will be teaching this class and pretty excited about it um so my name is alan adams all be lecturing the course i'm an assistant presser in court eight i study string theory and its applications to gravity quantum gravity and condensed matter physics, not question
 very lovely i'm, not question
 visit mi to open course ware at c w dot am it dot edu, not question
 and for two, not question
 yes please on the problem set every week will be listed when there are be equipment reading from every textbook and if there's something missing with no to cover something opposed to separating everyone tall posted jewelry readings and i'll be available on the style of website so for example in your problems that which is first one was posted will be available immediately after electrons teller website there are three papers that refers to, not question
 are these harness boxes, not question
 it does require concerted effort it's not a trivial top okay and, not question
 given that every once while you know you're the walking to school and your leg is gonna fall off for dogs going to jump out your, not question
 the result is i was driving, not question
 love so, not question
 None, not question
 is that every electron, not question
 so your job is to devote yourself to the problems that my job is to convince you at the end of every lecture but the most interesting thing you could possibly do when you leave is the problem set so you decide who are the harder job so the work load is not so bad so we have problem says do they're doing the fix box in the usual places by lecture by eleven am sharp on tuesdays okay every week we work, not question
 you're free to imagine that these boxes are built by putting you know, not question
 i'm so there are and i haven't chosen a specific text book in the discussed on the seller weight page their set of textbooks for textbooks any strongly recommend and a set of others that are nice references the reason for this is is two-fold first off there come to languages there cannot be used for quantum mechanics one is called we've mechanics and it the language mathematical languages partial differential equations the other is matrix mechanics they have big names and if the language there is linear algebra and different books emphasize different aspects and use different languages and the also tried payment different problems some butcher in towards people were to materials science some books are in poor people action floss of each and depending on what you want get the book that soon to okay and and every week i'll be providing with your problems at readings from each of those with the recommended taxed, not question
 similarly we can build harness box, not question
 just let me say is if this stuff works pulley trivial you would need to be here so ask questions if you're confused about something, not question
 okay, not question
 conceptual understanding material, not question
 None, not question
 i met quantum mechanics twenty years ago i just really zealous i was kinda depressing so old friend, not question
 so what i really encourage you to its final group of people to work with every week and make sure that, not question
 yeah use i don't know i don't think so um i think it's going to happen at the end of the semester, not question
 None, not question
 None, not question
 right after prom see yourself, not question
 oh that's an interesting question um i don't of the top of my head refuse me an email and all projects i do know several other lecture series that i like very much but i don't know if there build on you tube or publicly, not question
 i will call them color and harness but the, not question
 color and the way it works is this it has three aperture is an import and two out ports, not question
 does not matter what inside but if you want a little idea i can imagine putting a monkey inside the hyper intelligent monkey, not question
 okay, not question
 it's also my most powerful tool, not question
 and so here's a thought and i think i want to come on the white after seven into a color box again, not question
 there is so the deal is, not question
 every looking that's ever been observed is either black or white, not question
 if that logic of this lectures based on a very beautiful discussion in the first two chapters of a book by david albert called quantum mechanics and experience it's a book for philosophers but the first few chapters really lovely introduction at a non technical level in anchorage to take a look at them, not question
 okay, not question
 so cheap property, not question
 i'm, not question
 i need to focus on two properties electrons, not question
 lots of other people castles in be confused if i'm not answering a question with out you asking the no one's getting the point right so ask questions don't hesitate in rob just read your hand i'll do my best calling you on and this is true both a lecture also got office hours and recitation ask questions i promise there's no such thing as a terrible question someone else will also be confused, not question
 these are the most unsettling experiments ever done, not question
 now if you want, not question
 what's the best interests questioning soon so to practical things to know the first thing is everything that we put out will be on the still a website lecture notes homeworks exams everything is going to be done through stellar include your grades the second thing is that as you may notice there are other more likes than usual and where in the mike and or the finds out we're gonna be video taping the score for the lectures for c w and if you don't want to you know if your happy that cool if not to sit on the side and you won't appear anywhere in video, not question
 today i want to describe to you, not question
 it open course ware continue to offer high quality educational resources for free, not question
 and no other color will never seen a electron there are no green electrons known as are found florescent will there either black or they are white is a binary property, not question
 okay, not question
 hard electrons come out this port and soft electrons commit this port, not question
 yeah i lose policy newly workers attempted what so ever, not question
 so finally, not question
 in order to really develop intuition essential things to solve problems so it the way you develop a new intuition in my solving problems and bike dealing with new situations new contact me regimes which is what we're gonna do email for it essential the work on the problem sets, not question
 where are the harder the air soft binary properties, not question
 they have been performed, not question
 they'll call the color box that measures, not question
 okay what actually makes you learn better and clicker's are an excellent example that, question
 could we work this out of you know ahead of time come to us we need you that well ahead of time then it for him, not question
 okay, not question
 however, not question
 oh awesome honey on our new, not question
 there never squishy no never from when the dribbles, not question
 now not so much but we will drop one problem set to make up for an unanticipated events will return the grated punch a two week later recitation should be easy i strongly strongly encourage you to collaborate with other students on your problems you'll learn more they will learn more it will be more efficient work together, not question
 am, not question
 okay this is been enormously valuable and it's something i wanna say just write off is that the way of organize this class is not so much based on how of the classes i was taught its base to the greek possible on incurable lessons about what works in teaching, not question
 that's my mind, not question
 secondly there harness is either hard or soft, not question
 and the utility this box is that the color can be inferred from the position if you find the particle electron over here in the white electron if you find the light in here is a black look cool, not question
 is this of course and when can squat mechanics is my daily language, not question
 so i'm no place like about it and are rescission factors are buttons reebok and matt evans yeah that's new departments are welcome him high, not question
 don't get this is the first year we haven't any one person with the same um so, not question
 particular set of experiments, not question
 so he just started a faculty position is pretty awesome um and are the is probably also follow you here hey the cake so i'm his personal complaints to so i'm just curiosity how many or course eight, not question
 sadly i can't do have a great your welcome to if you like um but hopefully i should i should not play a meaningful role in any of the the lectures so i'm gonna i'm okay so the goal of a force for you to learn quantum mechanics and buy learn when mechanics i don't mean to learn how to do calculations although that's important and critical thing i mean learn some intuition appointed development which for quantum phenomena, not question
 turn that sounds good um so i'm gonna call yeah, not question
 okay so i'm, not question
 okay that's the best way for you to develop and test your understanding, not question
 that's very valuable to me and everyone else okay i'm so before i get going on the actual physics continent class, not question
 a monkey inside and we send in a electron and monkey you know with years looks at the electron and says you know its a hard look on so that when we're at the top look consent of the other the working since i do not matter in particular leader in this miserable described in considerable detail the workings inside this apparatus and here's something on emphasized you it can be built in principle using monkeys, not question
 to make a donation or to view additional materials from hundreds of them it courses, not question
 excellent nine, not question
 no one can does not hard it has already been a hard topic is not a super hard topic it does however require two in particular everyone in this room i'm totally positive can learn quantum mechanics, not question
 there will be two midterms dates to be announced and a one final if you could have multiple that would be a little exciting um we're gonna use clippers and clippers will be required when i can think of tenants but they will give a small contribution to your overall grade and we use the most importantly for non grated but just participation concept questions and the casual in class quiz to prove your knowledge this is mostly so that you have a real time measure of your own, not question
 None, not question
 okay so let's start with our agenda the first piece in a probabilistic model is description of the sample space of an experiment so we do an experiment, not question
 None, not question
 and by experiment we just mean that just something happens out there and that's something that happens it could be flipping a coin or it could be her rolling and it or it could be doing something in the card game, not question
 None, not question
 visit mi to open course ware not w that m it dot edu, not question
 None, not question
 no I could spend a lot of time in this lecture talking about 5 the subject is important I'll keep it short because I think it's almost over anything that happens in life is uncertain there's uncertainty and Eucharist of whatever you try to do you need to have some way of dealing or thinking about this and certainty and the way to do that in a systematic way he's by using the models that are given to us by probability Theory and you're dealing with a communication, not question
 None, not question
 i'm it open course ware continue to offer high quality educational resources for free, not question
 babe main part of today's lectures to describe those actions which are the rules of the game and consider if you really tv legs apples, not question
 it's one percent excellent the baby don't need this class okay so one person who have about one hundred people in this class so there's going to be about one unhappy person i mean any where you looking life there's or in any group you look at there's always one unhappy person right so what can we do about it, not question
 okay so now we can start with the real part of the lecture let us set goals for today, not question
 None, not question
 so probability is probability theory is the framework for dealing with uncertainty for dealing with situations in which we have some kind of randomness so what we want to do is by the end of today's lecture to give you anything that you need to know how to set up what does it take to set up a probabilistic model and what are the basic rules of the game for being with probabilistic models so by the end of this lecture you will have essentially recovered half of this semester's tuition that so we're going to talk about probabilistic models and more details of the sample space which is basically description of all the things that may happen during random experiment and the probability lol which describes our beliefs about which outcomes are more likely to occur compared to other outcomes probability laws have to be a certain properties that we call the actions of probability so, not question
 so this is another possible sample space for the experiment where i flip a coin just once, not question
 to make a donation or view additional materials from hundred of them it courses, not question
 None, not question
 None, not question
 it's been from a stable equilibrium the resultant, not question
 let's assume that that some instant of time, not question
 right now i also have to measure things from some location so i need to define what i mean by why equals zero and i will define white zero the position where if the mass is at that location, not question
 let me continue now using this information and try to reduce it to the minimum set of it cracked, not question
 so here is now my mathematical description the mass is a point and of mice and on which two forces act that is the force fs due to the spray and the force a g two to the fact that this mass is in the gravitational field and therefore there is a gravitational force on this math f g okay we call this a force diagram or sunday because of the free body diagram, not question
 it's one of them times the next full switch to force to to the spring minus the force to do the graphic to kate so, not question
 from hope so i know what will be the force f s when the situation is as shown over that alright it at time t so at this time, not question
 None, not question
 okay let me immediately start with a concrete example, not question
 in other words, not question
 this free body diagram of the situation, not question
 and by the way, not question
 understanding waves and vibrations i have very important practical applications and furthermore they the fact that they existed this phenomena exists has tremendous consequences on the world, not question
 and the boobs that this is still, not question
 how about the gravitational force well that is of course the a c minus and g to force of gravitational field on that mask and indian its mind this in the y direction here because it's, question
 so to describe that we use newtonian mechanics, not question
 None, not question
 it's, not question
 mathematics, not question
 in two, not question
 what i have here is, not question
 i know you've seen this often but i pod it's not all this what will happen to bring me pull the mass out in the mass maple just bring more down it may oscillate everything until you've, not question
 describe what you see, questions
 where these masses are these various times so i will define a coordinate system this is a one dimensional situations only need one corvette now corded wife my why will be, not question
 i'm not smart enough to do it is but because the teachers or whoever wrote the book etcetera is so familiar with them the to heal do several steps in his head to her head and you don't know about it for this first example i will try to avoid anything of that kind later on the fast and i'll do the same as everybody else but at the moment as i say i'm going in gory detail okay so, not question
 net force on the pot so why could zero is the equilibrium position and then the position of the spring when it says no mass attached is a distance y zero from that, not question
 we are dealing with forces and mass, not question
 i'm people from professor of physics of them it is joining my colleague professor waterloo in to help you understand the physics of ways and vibrations now you may well ask why i spent so much effort on waves and vibrations and the answer is very simple if you take any system disturbed from equilibrium, not question
 and by the way you may notice i'm going very slow here i'm doing that intentionally i'm going to go here in gory detail every part you know because all said i know that one one go select chair studies in the book etcetera what you look at some steps from one to another one step to another and you can't figure it out the reason for a dolphin is not that you, not question
 visit me to open course ware not w that i'm it dot edu, not question
 so we know that, not question
 None, not question
 so the, not question
 go to the spring will be in the spring constant times it's extension at that instant of time it is a factor, not question
 and i know from you telling in mechanics that, not question
 read the fine y equals zero to be the place where why double dog the second is zero, not question
 it's pouring this math stuff okay now what else do we know, question
 is, not question
 actually writing algebraic equations about the defective one notice old hahahah i've note to myself in something here this has to be a the direction of light, not question
 None, not question
 these two forces from the information i wrote of at and so that is equal one over dishes f over and, not question
 imagine that you take this is a small mouse and and you attach it to that spring at some instant of time and in the process of attaching it you may stretch the strings of the screen may not this instant not distract but let's assume while you are touching the job and stretch the spring little bit you holding it all right, not question
 was zero at t zero was station so this is the beginning of our chance of dating all the information we got that here, not question
 take, not question
 this is because of the force acting it will its motion will change and it will have an acceleration whose i call a of the, not question
 if, not question
 None, not question
 as shown on the right in order to be able to describe this i have to tell you, not question
 None, not question
 do not correspond to what one actually sees you know your theory understanding is hot, not question
 the degree of force of gravity pulling it down and the spring force putting it up cancelled so that is no, not question
 None, not question
 None, not question
 therefore i can, not question
 this is the diagram, not question
 waves and vibration two different didn't exist you wouldn't recognize on a huge difference, not question
 None, not question
 we know that, not question
 and in all this i don't have to write things over and too many things of the a in these equations i was defying the symbol why with two dots on it as the second derivative off why with respect to time one dot is the first derivative of velocity etc, not question
 unfortunately it's a single equation but i have more than one hundred because i don't know why zero and i don't know why if the clearly i won't be able to solve this equation alright but the that stage i go back to the information i told you at the beginning, not question
 it's a fact it's in the y direction, not question
 it's a lie zero is big ben numbers and why it this is a positive number therefore it's pretty distraction sprained will call the mass up so this is in the y direction this is tough, not question
 at that instant its velocity is zero stationery you let go, not question
 next we also know something about this spring i told the beginning that i could sending an ideal spring so for the purpose of this problem is she moving i have disposition fictitious thing a spring would essentially has no max last month which overpays exactly hoax lol and here i com help digress and point out to you that that's a terrible misnomer fixing that is no, not question
 i can now, not question
 the second hospital this since universe is described in terms of mathematical equations we can't solve those equations, not question
 if there are forces acting on the mass that, not question
 damn it open course ware continue to offer high quality, not question
 good good everything down very cast we know that we define white code zero to be declared a position, not question
 that of course is the second derivative of why respect to the, not question
